Episode,Rating,Votes
S01E01,8.3,7140
S01E02,8.0,5401
S01E03,8.2,5089
S01E04,8.1,4930
S01E05,8.5,4896
S01E06,8.1,4698
S01E07,9.0,6010
S01E08,8.1,4582
S01E09,8.2,4445
S01E10,8.1,4470
S01E11,8.2,4413
S01E12,8.2,4321
S01E13,8.7,4613
S01E14,8.3,4262
S01E15,8.2,4300
S01E16,8.1,4225
S01E17,8.5,4283
S01E18,8.8,4767
S01E19,8.1,4115
S01E20,7.9,4120
S01E21,7.9,4153
S01E22,8.3,4111
S01E23,8.7,4335
S01E24,8.9,4626
S02E01,8.5,4212
S02E02,8.2,4051
S02E03,8.4,4054
S02E04,7.9,3924
S02E05,8.3,3924
S02E06,8.6,4202
S02E07,9.0,4763
S02E08,8.5,3950
S02E09,8.0,3788
S02E10,8.0,3948
S02E11,8.1,3891
S02E12,8.6,4097
S02E13,8.8,4245
S02E14,9.4,6265
S02E15,8.9,4300
S02E16,8.6,3797
S02E17,8.3,3757
S02E18,8.5,3759
S02E19,8.5,3864
S02E20,8.1,3645
S02E21,8.1,3689
S02E22,9.0,4595
S02E23,8.1,3712
S02E24,8.2,3685
S03E01,8.4,3849
S03E02,9.0,5115
S03E03,8.0,3650
S03E04,8.0,3528
S03E05,8.1,3627
S03E06,9.1,4731
S03E07,8.3,3573
S03E08,8.4,3579
S03E09,9.0,5016
S03E10,8.1,3587
S03E11,8.6,3721
S03E12,8.2,3524
S03E13,8.2,3542
S03E14,7.8,3520
S03E15,8.5,3790
S03E16,9.1,4624
S03E17,8.3,3486
S03E18,8.4,3608
S03E19,8.2,3474
S03E20,8.1,3448
S03E21,8.7,3704
S03E22,8.2,3501
S03E23,8.1,3435
S03E24,8.1,3580
S03E25,8.8,3960
S04E01,9.1,4529
S04E02,8.1,3511
S04E03,8.5,3540
S04E04,8.2,3447
S04E05,8.4,3494
S04E06,8.5,3576
S04E07,8.7,3634
S04E08,9.1,4566
S04E09,7.9,3374
S04E10,8.0,3345
S04E11,8.5,3568
S04E12,9.5,6694
S04E13,8.2,3341
S04E14,8.2,3364
S04E15,8.5,3522
S04E16,8.2,3390
S04E17,8.6,3547
S04E18,8.3,3341
S04E19,8.7,3514
S04E20,8.5,3455
S04E21,7.2,3722
S04E22,8.5,3385
S04E23,8.7,3689
S04E24,9.2,4649
S05E01,8.9,3979
S05E02,9.0,4065
S05E03,8.8,3686
S05E04,8.3,3315
S05E05,8.7,3565
S05E06,8.0,3314
S05E07,8.3,3345
S05E08,9.2,4675
S05E09,9.1,4300
S05E10,8.2,3284
S05E11,9.1,4166
S05E12,8.3,3256
S05E13,8.1,3269
S05E14,9.7,8867
S05E15,8.5,3450
S05E16,8.6,3516
S05E17,8.5,3297
S05E18,8.0,3203
S05E19,8.7,3575
S05E20,8.3,3192
S05E21,8.5,3324
S05E22,8.2,3166
S05E23,8.8,3616
S05E24,9.1,4102
S06E01,8.7,3502
S06E02,8.2,3191
S06E03,8.2,3155
S06E04,8.5,3299
S06E05,8.1,3210
S06E06,8.5,3246
S06E07,8.4,3263
S06E08,8.5,3401
S06E09,9.2,4634
S06E10,8.6,3485
S06E11,8.1,3201
S06E12,8.0,3134
S06E13,8.2,3271
S06E14,8.6,3334
S06E15,8.5,3429
S06E16,8.5,3365
S06E17,9.1,4616
S06E18,8.3,3183
S06E19,8.3,3229
S06E20,7.4,3437
S06E21,8.6,3385
S06E22,9.0,3946
S06E23,8.6,3290
S06E24,8.8,3382
S06E25,9.3,4638
S07E01,8.4,3345
S07E02,8.3,3116
S07E03,8.1,3108
S07E04,8.1,3124
S07E05,8.1,3093
S07E06,8.9,3729
S07E07,8.5,3166
S07E08,8.2,3077
S07E09,8.1,3041
S07E10,8.5,3351
S07E11,8.6,3253
S07E12,8.7,3308
S07E13,8.4,3125
S07E14,8.6,3305
S07E15,8.4,3210
S07E16,8.7,3300
S07E17,8.4,3061
S07E18,8.4,3101
S07E19,8.7,3495
S07E20,8.4,3197
S07E21,7.4,3129
S07E22,8.4,3129
S07E23,8.9,3507
S07E24,9.2,3942
S08E01,8.7,3341
S08E02,9.1,3870
S08E03,8.7,3188
S08E04,9.3,4568
S08E05,8.1,3029
S08E06,8.5,3316
S08E07,7.9,3075
S08E08,8.8,3448
S08E09,9.3,5766
S08E10,8.1,3074
S08E11,8.0,2940
S08E12,8.5,3202
S08E13,8.6,3126
S08E14,8.2,2966
S08E15,8.4,2948
S08E16,8.3,3004
S08E17,8.1,2969
S08E18,8.2,3001
S08E19,7.4,3117
S08E20,8.2,2996
S08E21,8.2,2994
S08E22,8.3,2953
S08E23,8.8,3229
S08E24,8.9,3481
S09E01,8.6,3277
S09E02,8.6,3287
S09E03,8.2,3021
S09E04,8.2,3068
S09E05,8.5,3115
S09E06,8.4,3291
S09E07,8.7,3299
S09E08,8.8,3637
S09E09,8.2,3000
S09E10,7.5,3108
S09E11,8.0,2889
S09E12,7.9,2986
S09E13,8.1,2973
S09E14,8.2,2922
S09E15,8.3,2956
S09E16,8.2,2877
S09E17,8.5,2998
S09E18,8.6,3096
S09E19,8.1,2899
S09E20,8.2,2898
S09E21,8.2,2844
S09E22,7.8,2930
S09E23,8.5,3011
S09E24,8.7,3166
S10E01,8.5,3449
S10E02,8.8,3745
S10E03,8.8,3630
S10E04,8.3,3130
S10E05,8.2,3124
S10E06,8.2,3166
S10E07,8.3,3015
S10E08,8.9,3667
S10E09,8.6,3178
S10E10,8.0,3043
S10E11,9.0,4055
S10E12,8.9,3519
S10E13,8.5,3374
S10E14,8.6,3295
S10E15,8.5,3068
S10E16,8.9,3497
S10E17,9.7,11864
