Episode,Rating,Votes
S01E01,7.6,3662
S01E02,7.7,2980
S01E03,7.6,2711
S01E04,7.4,2674
S01E05,7.5,2559
S02E01,7.7,2454
S02E02,7.9,2551
S02E03,8.4,2513
S02E04,8.4,2508
S02E05,7.9,2268
S02E06,8.0,2276
S02E07,8.3,2316
S02E08,7.9,2296
S02E09,8.3,2261
S02E10,7.5,2251
S02E11,8.7,2875
S02E12,7.7,2223
S03E01,8.2,2340
S03E02,7.8,2129
S03E03,8.2,2349
S03E04,7.4,2443
S03E05,8.7,2585
S03E06,8.8,2965
S03E07,8.5,2203
S03E08,8.7,2385
S03E09,8.0,2142
S03E10,7.5,2152
S03E11,8.3,2141
S03E12,8.4,2184
S03E13,8.8,2667
S03E14,8.4,2222
S03E15,7.6,1962
S03E16,8.4,2185
S03E17,8.7,2692
S03E19,9.0,2937
S03E20,8.0,1944
S03E21,8.0,1924
S03E22,8.3,2041
S03E23,8.4,1993
S04E01,8.3,2029
S04E02,8.3,2029
S04E03,8.6,2091
S04E04,8.3,1908
S04E05,8.1,1859
S04E06,8.1,1859
S04E07,8.8,2772
S04E08,8.5,2061
S04E09,8.2,1996
S04E10,8.2,1937
S04E11,9.6,5163
S04E12,8.9,2671
S04E13,8.5,2072
S04E14,8.2,1957
S04E15,8.2,1852
S04E16,8.2,1917
S04E17,9.5,3592
S04E18,8.0,1971
S04E19,8.6,2088
S04E20,8.8,2485
S04E21,8.5,1986
S04E22,8.3,1878
S04E23,8.7,2100
S05E01,8.6,2125
S05E02,8.9,2716
S05E03,8.4,1938
S05E04,8.1,1908
S05E05,8.1,2037
S05E06,8.5,1948
S05E07,8.5,2172
S05E08,8.4,1952
S05E09,7.8,1814
S05E10,8.4,2027
S05E11,8.2,1848
S05E12,8.6,2071
S05E13,8.2,1899
S05E14,9.2,3310
S05E15,8.5,1931
S05E16,7.6,1781
S05E17,8.1,1803
S05E18,8.5,1880
S05E19,8.6,2064
S05E20,9.0,2778
S05E21,9.6,3747
S06E01,8.1,1788
S06E02,8.2,1863
S06E03,8.3,1833
S06E04,8.2,1790
S06E05,8.1,1777
S06E06,8.2,1807
S06E07,8.2,1760
S06E08,8.1,1731
S06E09,8.2,1692
S06E10,8.9,2615
S06E11,8.9,2518
S06E12,8.6,1820
S06E13,8.1,1684
S06E14,7.4,1727
S06E15,8.3,1705
S06E16,8.3,1680
S06E17,8.3,1769
S06E18,8.9,2542
S06E19,8.3,1671
S06E20,8.7,2225
S06E21,8.2,1672
S06E22,8.5,1780
S06E23,8.0,1715
S07E01,8.8,1846
S07E02,8.4,1652
S07E03,8.2,1729
S07E04,8.6,1855
S07E05,8.6,1831
S07E06,9.5,4403
S07E07,8.6,1756
S07E08,8.5,1709
S07E09,8.3,1768
S07E10,8.6,1974
S07E11,8.9,2296
S07E12,8.6,1787
S07E13,8.2,1627
S07E14,8.5,1800
S07E15,8.5,1667
S07E16,8.2,1648
S07E17,7.9,1595
S07E18,8.1,1667
S07E19,8.9,2212
S07E20,8.9,2132
S07E21,8.3,1621
S07E22,8.8,2187
S08E01,8.3,1643
S08E02,8.2,1620
S08E03,9.2,2693
S08E04,9.0,2373
S08E05,8.8,1747
S08E06,8.1,1614
S08E07,8.3,1634
S08E08,9.1,2518
S08E09,9.1,2314
S08E10,8.5,1638
S08E11,8.3,1748
S08E12,7.9,1539
S08E13,8.6,1868
S08E14,8.2,1619
S08E15,8.8,1800
S08E16,8.8,1776
S08E17,8.7,1803
S08E18,8.9,2058
S08E19,9.0,2591
S08E20,8.2,1616
S08E21,8.5,1795
S08E22,8.6,1803
S09E01,8.5,1835
S09E02,8.4,1846
S09E03,8.9,2441
S09E04,8.4,1677
S09E05,8.1,1623
S09E06,9.2,2725
S09E07,8.5,1689
S09E08,8.9,2780
S09E09,8.3,1651
S09E10,8.8,2366
S09E11,8.6,1803
S09E12,8.3,1674
S09E13,7.9,1652
S09E14,7.9,1623
S09E15,8.0,1552
S09E16,8.4,1951
S09E17,8.3,1593
S09E18,8.9,2254
S09E19,8.2,1574
S09E20,8.0,1704
S09E21,7.7,1505
S09E22,7.5,2797
