Episode,Rating,Votes
S01E01,8.2,5910
S01E02,7.7,3796
S01E03,7.4,3335
S01E04,7.7,3269
S01E05,8.0,3318
S01E06,7.6,3210
S01E07,7.8,3095
S01E08,7.7,3000
S01E09,7.5,2990
S01E10,7.4,2883
S01E11,7.8,2914
S01E12,8.4,3176
S01E13,7.8,2912
S02E01,8.3,3183
S02E02,8.2,3009
S02E03,8.3,3392
S02E04,8.1,2757
S02E05,7.4,2662
S02E06,8.0,2599
S02E07,7.8,2560
S02E08,8.4,2810
S02E09,8.1,2641
S02E10,7.8,2524
S02E11,8.8,3109
S02E12,8.3,2627
S02E13,8.0,2482
S02E14,7.5,2400
S02E15,8.3,2637
S02E16,7.5,2377
S02E17,7.6,2340
S02E18,8.0,2367
S02E19,8.6,3021
S02E20,7.9,2329
S02E21,8.3,2540
S02E22,7.9,2293
S03E01,8.6,3250
S03E02,7.8,2423
S03E03,8.2,2509
S03E04,8.6,2734
S03E05,8.5,2601
S03E06,7.7,2342
S03E07,8.3,2643
S03E08,7.9,2280
S03E09,7.9,2257
S03E10,8.8,2939
S03E11,8.3,2364
S03E12,8.3,2274
S03E13,8.5,2511
S03E14,8.0,2172
S03E15,8.1,2194
S03E16,8.3,2384
S03E17,8.7,2879
S03E18,8.2,2211
S03E19,7.8,2127
S03E20,8.1,2300
S03E21,8.3,2292
S03E22,7.7,2178
S03E23,7.8,2137
S03E24,8.3,2237
S04E01,8.5,2624
S04E02,8.2,2444
S04E03,9.0,3149
S04E04,7.8,2216
S04E05,8.5,2624
S04E06,8.2,2340
S04E07,7.8,2132
S04E08,8.2,2304
S04E09,8.9,2934
S04E10,8.7,2487
S04E11,8.7,2541
S04E12,9.1,3584
S04E13,8.0,2165
S04E14,8.2,2169
S04E15,8.4,2351
S04E16,8.4,2215
S04E17,9.1,3273
S04E18,7.1,2029
S04E19,8.1,2053
S04E20,8.1,2245
S04E21,7.8,2041
S04E22,8.2,2257
S05E01,8.5,2642
S05E02,9.2,3798
S05E03,8.6,2655
S05E04,8.9,2673
S05E05,8.8,2728
S05E06,8.1,2114
S05E07,7.7,1993
S05E08,8.7,2368
S05E09,8.5,2368
S05E10,8.6,2372
S05E11,8.3,2176
S05E12,8.2,2081
S05E13,8.3,2139
S05E14,8.2,2135
S05E15,8.9,2709
S05E16,8.5,2196
S05E17,7.9,2059
S05E18,8.3,2067
S05E19,8.4,2114
S05E20,8.3,2031
S05E21,7.5,1854
S05E22,8.1,1939
S06E01,8.7,2486
S06E02,8.1,2143
S06E03,5.9,1926
S06E04,8.6,2375
S06E05,8.3,2077
S06E06,9.2,3319
S06E07,8.1,2102
S06E08,8.6,2287
S06E09,9.0,2927
S06E10,8.1,1958
S06E11,7.8,1999
S06E12,9.0,2715
S06E13,8.8,2495
S06E14,8.7,2232
S06E15,8.6,2283
S06E16,8.5,2415
S06E17,7.9,1875
S06E18,8.6,2253
S06E19,8.3,2176
S06E20,8.2,1941
S06E21,8.1,1887
S06E22,8.2,2001
S06E23,8.2,1912
S06E24,8.8,2374
S06E25,9.2,3038
S07E01,9.0,2752
S07E02,8.3,2075
S07E03,8.4,2001
S07E04,8.8,2506
S07E05,8.5,2330
S07E06,8.6,2406
S07E07,9.0,2838
S07E08,8.7,2230
S07E09,8.0,1871
S07E10,7.5,1873
S07E11,8.5,2210
S07E12,8.3,1905
S07E13,8.6,2220
S07E14,7.7,1751
S07E15,7.7,1728
S07E16,8.2,1891
S07E17,8.9,2567
S07E18,8.1,1853
S07E19,8.2,1990
S07E20,8.6,2075
S07E21,8.9,2636
S07E22,8.4,2024
S07E23,8.1,1781
S07E24,8.0,1893
S07E25,8.4,2046
S08E01,8.5,2248
S08E02,9.2,4122
S08E03,8.1,1949
S08E04,7.7,1928
S08E05,8.3,2000
S08E06,8.1,1882
S08E07,7.8,1835
S08E08,8.8,2301
S08E09,8.6,2453
S08E10,9.1,3119
S08E11,7.8,1798
S08E12,8.6,2073
S08E13,7.7,1939
S08E14,8.0,1941
S08E15,8.8,2728
S08E16,8.2,1977
